AREA,PERIMETER,SOUMCENT_,SOUMCENT_I,NAME
0.000,0.000,"139","211",Õóøààò
0.000,0.000,"140","212",Îðõîí
0.000,0.000,"141","213",Äóëààíõààí
0.000,0.000,"142","214",Øààìàð
0.000,0.000,"143","215",Àëòàí áóëàã
0.000,0.000,"144","216",Æàâõëàíò
0.000,0.000,"145","217",Åðºº
0.000,0.000,"146","218",Åðºº
0.000,0.000,"147","219",Øàðûí ãîë
0.000,0.000,"148","221",Áàÿíãîë
0.000,0.000,"149","222",Ç¿¿íõàðàà
0.000,0.000,"150","223",Ò¿íõýë
0.000,0.000,"151","224",Ìàíäàë
0.000,0.000,"152","225",Ñàíò
0.000,0.000,"153","276",Äýëãýðõààí
0.000,0.000,"154","277",Á¿ðýí
0.000,0.000,"155","278",Áàÿí-ªíæ¿¿ë
0.000,0.000,"156","279",Áàÿíöàãààí
0.000,0.000,"157","280",Áàÿíìºíõ
0.000,0.000,"158","281",Äàðõàí
0.000,0.000,"159","282",Ãàëøàð
0.000,0.000,"160","283",Á¿ðýíöîãò
0.000,0.000,"161","284",Ò¿âøèíøèðýý
0.000,0.000,"162","308",Àäààöàã
0.000,0.000,"163","309",Ýðäýíýäàëàé
0.000,0.000,"164","310",Äýëãýðõàíãàé
0.000,0.000,"165","311",Õóëä
0.000,0.000,"166","317",Öîãò-Îâîî
0.000,0.000,"167","318",Ìàíäàë-Îâîî
0.000,0.000,"168","319",Õàíõîíãîð
0.000,0.000,"169","321",Õ¿ðìýí
0.000,0.000,"170","322",Íîìãîí
0.000,0.000,"171","323",Áàÿí-Îâîî
0.000,0.000,"172","324",Õàíáîãä
0.000,0.000,"173","325",Ìàíëàé
0.000,0.000,"174","326",Öîãòöýöèé
0.000,0.000,"176","331",Ò¿ìýíöîãò
0.000,0.000,"177","345",Ìºíõõààí
0.000,0.000,"178","346",Óóëáàÿí
0.000,0.000,"179","347",Áàÿíäýëãýð
0.000,0.000,"180","348",Õàëçàí
0.000,0.000,"181","350",Ñ¿õáààòàð
0.000,0.000,"182","351",Àñãàò
0.000,0.000,"183","352",Îíãîí
0.000,0.000,"184","353",Äàðüãàíãà
0.000,0.000,"185","354",Íàðàí
0.000,0.000,"186","355",Ýðäýíýöàãààí
0.000,0.000,"187","141",Öýöýðëýã
0.000,0.000,"188","140",Öàãààí-Óóë
0.000,0.000,"189","137",Áàÿíç¿ðõ
0.000,0.000,"190","138",Àðáóëàã
0.000,0.000,"191","129",Á¿ðýíòîãòîõ
0.000,0.000,"192","128",Øèíý-Èäýð
0.000,0.000,"193","126",Æàðãàëàíò
0.000,0.000,"194","127",Ãàëò
0.000,0.000,"195","125",Òºìºðáóëàã
0.000,0.000,"196","118",Òîñîíöýíãýë
0.000,0.000,"197","116",Èõ-óóë
0.000,0.000,"198","123",Ò¿íýë
0.000,0.000,"199","152",Áàÿíáóëàã
0.000,0.000,"200","155",Çàã
0.000,0.000,"201","153",Õ¿ðýýìàðàë
0.000,0.000,"202","154",Áóóöàãààí
0.000,0.000,"203","157",Áºìáºãºð
0.000,0.000,"204","196",Ãàëóóò
0.000,0.000,"205","161",Áàÿí-Îâîî
0.000,0.000,"206","158",Ýðäýíýöîãò
0.000,0.000,"207","160",ªëçèéò
0.000,0.000,"208","162",Æèíñò
0.000,0.000,"209","170",Áîãä
0.000,0.000,"210","163",Áààöàãààí
0.000,0.000,"211","169",Áàÿíëèã
0.000,0.000,"212","168",Áàÿíãîâü
0.000,0.000,"213","164",Áàÿíöàãààí
0.000,0.000,"214","167",Øèíýæèíñò
0.000,0.000,"215","165",Áàÿí-ªíäºð
0.000,0.000,"216","174",Áàò-ªëçèéò
0.000,0.000,"217","175",Õóæèðò
0.000,0.000,"218","190",Á¿ðä
0.000,0.000,"219","181",Ç¿éë
0.000,0.000,"220","180",ªëçèéò
0.000,0.000,"221","176",Ç¿¿íáàÿí-Óëàà
0.000,0.000,"222","177",Óÿíãà
0.000,0.000,"223","178",Òàðàãò
0.000,0.000,"224","182",Äºëãººí
0.000,0.000,"225","173",Íàðèéíòýýë
0.000,0.000,"226","185",Õàéðõàíäóëàà
0.000,0.000,"227","186",Ãó÷èí-Óñ
0.000,0.000,"228","187",Òºãðºã
0.000,0.000,"229","184",Áàÿíãîë
0.000,0.000,"230","183",Ñàíò
0.000,0.000,"231","171",Áàðóóí áàÿí-Ó
0.000,0.000,"232","188",Áîãä
0.000,0.000,"233","275",Áàÿí-ªíäºð
0.000,0.000,"234","307",Äýëãýðöîãò
0.000,0.000,"235","305",Ãîâü-Óãòààë
0.000,0.000,"236","304",Öàãààíäýëãýð
0.000,0.000,"237","315",Ñàéíöàãààí
0.000,0.000,"238","312",Ëóóñ
0.000,0.000,"239","306",Ãóðâàíñàéõàí
0.000,0.000,"240","313",ªëçèéò
0.000,0.000,"241","302",ªíäºðøèë
0.000,0.000,"242","303",Áàÿíæàðãàëàí
0.000,0.000,"243","299",Äàëàíçàäãàä
0.000,0.000,"244","286",Èõõýò
0.000,0.000,"245","298",Àéðàã
0.000,0.000,"246","287",Àëòàíøèðýý
0.000,0.000,"247","285",Äýëãýðýõ
0.000,0.000,"248","289",ªðãºí
0.000,0.000,"249","296",Ñàéõàíäóëààí
0.000,0.000,"250","295",Ìàíäàõ
0.000,0.000,"251","292",Óëààíáàäðàõ
0.000,0.000,"252","293",Õºâñãºë
0.000,0.000,"253","294",Õàòàíáóëàã
0.000,0.000,"254","290",Ýðäýíý
0.000,0.000,"255","291",Çàìûí-¯¿ä
0.000,0.000,"256","259",Äýëãýðõààí
0.000,0.000,"257","257",Öýíõýðìàíäàë
0.000,0.000,"258","258",Æàðãàëòõààí
0.000,0.000,"259","261",Ìºðºí
0.000,0.000,"260","260",ªëçèéò
0.000,0.000,"261","263",Õýðëýí
0.000,0.000,"262","264",Áàÿíõóòàã
0.000,0.000,"263","266",Áàòíîðîâ
