"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Баянзүрх,51110,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.819,4.271,3.856,5.515,5.882,5.473,6.408,7.482
                Баянзүрх,51110,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.286,13.463,15.583,18.558,18.464,17.824,16.46,17.795,18.918
                Баянзүрх,51110,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.002,0.002,0,0,0,
                Баянзүрх,51110,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.724,14.015,13.583,14.546,17.401,17.415,16.102,17.644,17.171
                Баянзүрх,51110,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.411,12.677,12.695,13.167,13.937,13.847,13.092,15.086,16.233
                    Налайх,51113,Бүгд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.986,45.16,49.745,52.205,55.804,50.386,49.66,57.075,60.087
                    Налайх,51113,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.705,4.436,4.788,5.459,6.803,6.945,7.009,7.836,9.348
                    Налайх,51113,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.048,9.122,10.401,11.566,12.366,11.658,11.203,12.187,13.424
                    Налайх,51113,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.011,0.017,0.011,0.022,0.018,0.019,0.018,0.024
                    Налайх,51113,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.669,17.818,19.626,20.347,21.765,19.138,18.67,21.257,21.567
                    Налайх,51113,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56,13.773,14.913,14.822,14.848,12.627,12.759,15.777,15.724
                    Сонгинохайрхан,51116,Бүгд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.654,56.107,67.959,73.825,73.576,72.072,63.832,70.768,80.712
                    Сонгинохайрхан,51116,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.732,5.888,5.289,6.231,7.099,7.176,6.568,7.493,10.492
                    Сонгинохайрхан,51116,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.969,19.167,23.34,25.688,26.731,26.529,22.913,24.514,24.357
                    Сонгинохайрхан,51116,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0,0,0.001,0,0,0,0,
                    Сонгинохайрхан,51116,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.495,17.58,22.408,24.146,23.088,21.689,18.405,19.181,21.739
                    Сонгинохайрхан,51116,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.442,13.472,16.922,17.759,16.658,16.678,15.946,19.58,24.124
                    Сүхбаатар,51119,Бүгд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.626,3.312,2.953,3.367,3.051,2.888,0,0,
                    Сүхбаатар,51119,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,0.17,0.124,0.142,0.146,0.178,0,0,
                    Сүхбаатар,51119,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.403,2.331,2.112,2.276,2.188,1.908,0,0,
                    Сүхбаатар,51119,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
                    Сүхбаатар,51119,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295,0.304,0.301,0.416,0.339,0.345,0,0,
                    Сүхбаатар,51119,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706,0.507,0.416,0.533,0.378,0.457,0,0,
