"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Баян-Өндөр,26101,Адуу,,,,,,,0.3,0.5,0.5,3.7,0.69,1.08,1.45,1.7,1.87,2.05,2.05,2.33,2.57,3.07,4.27,1.6,2.24,3.02,6.33,7.54,7.78,7.15,7.1,8.71,7.89,7.85,8.85,5.47,7.41,5.27,6.46,6.94,7.01,6.79,6.9,7.75,7.626,7.21,3.002,3.399,4.672,5.445,5.432,5.949,6.675
                Баян-Өндөр,26101,Үхэр,,,,,,,1.1,1.9,2.9,2.7,4.41,5.31,6.3,7.21,7.6,7.9,7.9,9.06,10.48,11.53,13.44,5.91,8.2,9,16.03,17.98,19.25,16.33,17.19,20.5,19.43,15.98,16.54,8.98,8.24,9.41,10.9,11.91,13.32,13.44,11.44,12.21,13.076,13.23,6.337,7.182,8.903,10.323,8.447,9.454,10.564
                Баян-Өндөр,26101,Тэмээ,,,,,,,,,,0.6,,,,,,,,,,,,,0,0,0.01,0.01,0.01,0.02,0.02,0.06,0.06,0.08,0.1,0.1,0.09,0.08,0.12,0.11,0.16,0.16,0.18,0.17,0.181,0.132,0.008,0.009,0.01,0.006,0.02,0.04,0.03
                Баян-Өндөр,26101,Хонь,,,,,,,0.7,2.9,2.7,0.5,3.21,6.75,10.37,11.93,13.28,14.71,14.71,17.34,21.55,26.29,32.64,10.21,15.98,21.39,50.26,50.09,45.83,41.94,45.68,57.84,60.27,59.78,60.28,32.87,33.61,41.95,55.69,65.9,80.98,79.92,55.79,51.53,60.793,59.653,18.688,19.483,22.751,22.496,24.728,26.641,26.983
                Баян-Өндөр,26101,Ямаа,,,,,,,0.4,0.4,0.6,7.5,0.51,0.76,1.04,1.12,1.27,1.33,1.33,1.41,1.71,2.25,3.16,2.46,4.33,6.72,14,15.63,18.09,20.1,24.66,33.68,38.12,42.18,43.26,35.08,36.01,44.34,57.61,64.93,87.38,73.95,48.15,47.81,49.208,43.344,13.021,14.214,16.112,14.887,14.848,17.207,23.078
                Жаргалант,26104,Бүгд,,,,,,,,,,,,,,,,,,,,,,23.88,26.3,27.09,24.3,36.05,32.14,34.77,37.63,43.14,42.73,42.98,30.69,25.44,29.85,36.24,43.66,60.19,80.05,81.92,46.75,48.87,53.626,55.387,82.146,75.463,81.756,69.178,60.875,67.657,69.658
                Жаргалант,26104,Адуу,,,,,,,,,,,,,,,,,,,,,,1.54,1.79,2.27,2.29,3.95,3.7,3.69,3.79,4.13,3.6,3.72,2.79,2.3,2.31,2.53,2.72,3.59,4.29,4.64,3.81,4.03,4.14,4.359,6.125,5.728,6.663,6.805,5.913,6.283,6.137
                Жаргалант,26104,Үхэр,,,,,,,,,,,,,,,,,,,,,,4.82,4.52,4.32,4.42,6.5,6.23,6.41,6.79,7.31,6.76,6.31,4.06,2.95,3.18,3.83,4.61,6.37,7.81,8.41,6.33,6.6,7.47,8.399,11.84,12.006,12.7,11.577,9.03,9.587,9.771
                Жаргалант,26104,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.01,0.01,,,,,0.01,0.01,0.01,,0,0.013,0.053,0.012,0.028,0.033,0.036,0.029,0.027
                Жаргалант,26104,Хонь,,,,,,,,,,,,,,,,,,,,,,16.08,17.98,17.59,14.11,19.48,16.41,17.31,17.74,20.78,20.15,19.3,13.45,9.93,11.55,13.84,16.11,21.69,30.01,31.86,17.3,17.11,19.406,20.211,32.545,28.627,29.901,25.16,22.761,23.921,24.266
                Жаргалант,26104,Ямаа,,,,,,,,,,,,,,,,,,,,,,1.44,2.01,2.9,3.48,6.09,5.77,7.32,9.28,10.89,12.18,13.62,10.37,10.25,12.81,16.04,20.22,28.53,37.93,37,19.3,21.14,22.61,22.405,31.583,29.09,32.464,25.603,23.135,27.837,29.457
            Өвөрхангай,262,Бүгд,1707.77,1652.08,1713.78,1733.06,1820.08,1875.19,1914.48,1953.34,2016.82,2023.21,1933.9,1928.89,2009.96,1739.83,1736.04,1675.68,1726.08,1749.34,1777.57,1937.6,2061.61,2022.31,2045.96,2106.03,2346.22,2594.98,2550.13,2718.23,2921.52,2956.64,2159.04,1869.09,1665.36,1918.83,2155.45,2301.15,2623.26,3190.19,3449.75,3620.17,2010.56,2425.65,2970.688,3486.043,4111.515,4510.986,5208.582,5743.53,5461.346,5625.463,4479.058
