"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Хэрлэн,42101,Адуу,2.36,2.52,2.52,2.89,3.39,3.16,3.75,4.37,3.87,4.09,3.87,4.11,4.13,4.4,4.53,5.08,5.2,5.26,5.61,6.32,6.88,7.54,8.53,8.66,8.87,9.8,9.88,9.73,11.48,14.45,12.93,12.18,10.74,12,11,11.06,10.44,9.47,9.67,9.87,8.92,11.05,11.541,13.811,15.989,18.852,22.836,24.05,22.82,24.048,20.384
                Хэрлэн,42101,Үхэр,1.96,2.25,2.2,2.46,2.78,2.95,3.03,3.05,3.15,3.33,3.27,3.28,3.63,3.79,3.94,4.59,5.59,5.21,5.43,6.92,9.02,11.18,13.81,14.06,15.37,17.57,17.9,19.77,21.96,25.69,22.53,10.97,9.95,10.98,10.17,9.74,10.66,10.41,10.9,11.77,8.3,9.34,10.815,13.051,15.555,18.638,20.938,22.667,24.026,27.123,25.295
                Хэрлэн,42101,Тэмээ,0.11,0.1,0.12,0.11,0.12,0.09,0.11,0.17,0.12,0.22,0.15,0.19,0.26,0.22,0.16,0.2,0.2,0.17,0.14,0.13,0.14,0.17,0.19,0.19,0.26,0.26,0.29,0.3,0.34,0.41,0.37,0.41,0.38,0.37,0.36,0.35,0.34,0.29,0.3,0.3,0.32,0.33,0.31,0.281,0.323,0.299,0.299,0.278,0.291,0.31,0.28
                Хэрлэн,42101,Хонь,0.21,0.24,0.21,0.27,0.2,0.19,0.17,2.17,2.08,4.01,4.37,6.17,5.55,4.32,5.75,6.25,6.94,7.04,9.98,13.88,24.03,32.07,39.07,38.22,43.9,45.93,47.83,52.95,59.17,64.06,57.57,47.53,42.12,35.62,36.11,40.08,45.23,47.01,51.18,56.47,34.07,39.07,44.032,46.749,54.08,60.763,67.819,72.474,71.714,74.141,57.296
                Хэрлэн,42101,Ямаа,0.03,0.05,0.05,0.17,0.06,0.07,0.07,0.06,0.09,0.3,0.25,0.44,0.25,0.28,0.38,0.3,0.5,0.52,0.73,0.75,1.01,1.62,2.85,3.12,4.25,6.05,8.31,11.99,15.25,16.94,17.72,18.35,21.73,22.98,26.44,30.87,38.42,44.04,50.24,43.65,22.85,27.49,29.411,28.845,33.765,38.286,42.309,46.765,47.65,50.425,42.927
                Баяндун,42104,Бүгд,68.65,70.34,66.54,69.38,69.71,72.81,69.84,68.26,67.96,67.4,68.85,75.11,75.58,74.01,73.79,72.68,74.85,75.03,73.47,74.91,78.22,72.67,63.69,56.9,56.22,46.06,46.84,53.16,58.39,68.04,67.72,66.51,70.43,75.06,80.36,90.36,102.64,116.02,134.18,137.53,102.22,113.09,111.491,112.719,127.842,134.88,151.178,175.802,201.168,220.678,223.752
                Баяндун,42104,Адуу,4.46,4.57,4.34,4.39,4.53,4.54,4.42,4.21,4.13,4.22,3.55,3.77,3.91,3.9,3.96,4.16,4.19,4.26,4.43,4.66,4.99,4.86,5.09,5.73,6.21,5.91,5.72,5.93,6.26,6.66,6.45,6.71,7.03,7.32,7.54,7.67,7.77,7.65,7.75,7.93,7.93,7.89,7.646,7.817,8.441,9.354,10.555,11.889,13.52,15.004,15.839
                Баяндун,42104,Үхэр,10.38,10.61,10.34,10.38,9.99,10.12,10.25,10.89,11.64,11.36,10.75,11.67,11.21,10.67,10.77,10.23,10.05,9.84,9.35,9.59,10.45,10.31,9.38,9,9.42,8.65,8.7,9.96,10.94,12.39,11.86,8.54,8.28,8.82,9.04,9.17,9.65,10.29,10.87,11.3,10.24,10.34,10.432,11.176,12.087,13.433,14.147,16.469,19.898,22.729,24.379
                Баяндун,42104,Тэмээ,0.82,0.81,0.77,0.79,0.83,0.83,0.8,0.79,0.81,0.79,0.74,0.75,0.74,0.71,0.72,0.75,0.74,0.75,0.67,0.71,0.67,0.58,0.54,0.5,0.47,0.44,0.39,0.38,0.35,0.32,0.29,0.26,0.27,0.25,0.25,0.26,0.25,0.24,0.23,0.21,0.18,0.15,0.145,0.179,0.156,0.163,0.198,0.212,0.24,0.332,0.34
                Баяндун,42104,Хонь,51.68,52.86,49.53,52.14,52.56,55.5,52.54,50.26,49.33,48.91,51.81,56.78,57.57,56.54,56.08,55.24,57.39,57.55,56.42,56.62,58.46,53.34,44.69,37.32,35.08,25.66,26.12,29.62,32.44,39.36,39.27,39.42,40.96,42.24,45.51,51.84,59.28,66.24,75.93,80.06,57.53,63.87,64.179,63.704,72.628,75.206,85.672,99.175,108.44,117.572,118.032
